species_pair,identical_amino_acids,identical_codons,locus
Lk_Cc,4771,4288,MHCI
Cm_Lk,12583,11159,MHCI
Cc_Cm,23097,19798,MHCI
Dc_Lk,968,936,MHCI
Dc_Cc,1752,1616,MHCI
Dc_Cm,5192,5080,MHCI
