identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
27726,23736,12606
27726,23677,12626
27726,23534,12770
27726,23759,12596
27726,23655,12611
27726,23854,12684
27726,23624,12708
27726,23747,12564
27726,23671,12420
27726,23677,12574
27726,23617,12536
27726,23679,12505
27726,23679,12711
27726,23707,12707
27726,23754,12584
27726,23656,12584
27726,23694,12693
27726,23707,12679
27726,23712,12655
27726,23560,12572
27726,23734,12733
27726,23708,12638
27726,23740,12595
27726,23666,12599
27726,23745,12502
27726,23734,12652
27726,23812,12550
27726,23700,12703
27726,23638,12590
27726,23761,12535
27726,23657,12724
27726,23742,12530
27726,23694,12587
27726,23731,12769
27726,23574,12504
27726,23719,12643
27726,23618,12591
27726,23620,12613
27726,23635,12585
27726,23711,12561
27726,23725,12618
27726,23708,12689
27726,23605,12541
27726,23665,12507
27726,23676,12601
27726,23620,12612
27726,23700,12573
27726,23700,12743
27726,23604,12642
27726,23649,12697
27726,23766,12599
27726,23732,12612
27726,23709,12685
27726,23697,12664
27726,23719,12538
27726,23695,12670
27726,23692,12647
27726,23790,12424
27726,23661,12637
27726,23613,12512
27726,23739,12627
27726,23511,12558
27726,23651,12621
27726,23696,12628
27726,23681,12513
27726,23735,12665
27726,23705,12573
27726,23716,12630
27726,23777,12600
27726,23653,12713
27726,23767,12657
27726,23722,12762
27726,23681,12489
27726,23702,12581
27726,23693,12679
27726,23722,12676
27726,23626,12594
27726,23698,12565
27726,23754,12495
27726,23710,12549
27726,23676,12526
27726,23684,12650
27726,23724,12716
27726,23636,12593
27726,23630,12697
27726,23648,12590
27726,23690,12629
27726,23747,12613
27726,23580,12608
27726,23694,12616
27726,23694,12560
27726,23663,12842
27726,23656,12530
27726,23656,12636
27726,23694,12582
27726,23772,12484
27726,23623,12614
27726,23716,12686
27726,23709,12735
27726,23671,12698
27726,23685,12543
27726,23693,12550
27726,23630,12659
27726,23604,12699
27726,23645,12504
27726,23663,12605
27726,23753,12681
27726,23758,12644
27726,23722,12532
27726,23671,12620
27726,23780,12575
27726,23619,12570
27726,23597,12737
27726,23600,12758
27726,23676,12649
27726,23773,12770
27726,23651,12517
27726,23663,12613
27726,23723,12670
27726,23571,12469
27726,23772,12614
27726,23684,12605
27726,23659,12602
27726,23646,12474
27726,23625,12673
27726,23670,12623
27726,23661,12599
27726,23759,12691
27726,23626,12495
27726,23698,12706
27726,23574,12560
27726,23687,12515
27726,23682,12599
27726,23679,12677
27726,23641,12731
27726,23587,12575
27726,23642,12655
27726,23630,12511
27726,23849,12659
27726,23667,12557
27726,23719,12683
27726,23651,12607
27726,23697,12483
27726,23666,12492
27726,23605,12681
27726,23712,12522
27726,23663,12828
27726,23697,12551
27726,23619,12764
27726,23681,12602
27726,23593,12629
27726,23618,12624
27726,23592,12732
27726,23712,12487
27726,23660,12599
27726,23581,12504
27726,23666,12557
27726,23723,12653
27726,23722,12647
27726,23666,12546
27726,23561,12515
27726,23778,12552
27726,23671,12607
27726,23658,12640
27726,23752,12607
27726,23591,12594
27726,23673,12644
27726,23676,12719
27726,23648,12633
27726,23670,12563
27726,23673,12756
27726,23609,12592
27726,23781,12644
27726,23655,12577
27726,23768,12654
27726,23667,12736
27726,23759,12389
27726,23746,12559
27726,23625,12554
27726,23704,12651
27726,23642,12523
27726,23828,12736
27726,23640,12628
27726,23656,12671
27726,23682,12624
27726,23689,12616
27726,23672,12403
27726,23710,12705
27726,23656,12716
27726,23681,12652
27726,23687,12710
27726,23681,12598
27726,23663,12614
27726,23670,12732
27726,23687,12512
27726,23672,12521
27726,23794,12508
27726,23728,12569
27726,23776,12484
27726,23626,12718
27726,23676,12652
27726,23787,12501
27726,23619,12593
27726,23703,12507
27726,23809,12583
27726,23577,12695
27726,23575,12567
27726,23590,12621
27726,23613,12633
27726,23627,12638
27726,23553,12580
27726,23735,12561
27726,23707,12621
27726,23663,12531
27726,23678,12605
27726,23649,12647
27726,23711,12505
27726,23658,12635
27726,23693,12627
27726,23687,12447
27726,23579,12734
27726,23668,12632
27726,23622,12699
27726,23665,12635
27726,23656,12560
27726,23628,12596
27726,23605,12596
27726,23745,12626
27726,23605,12622
27726,23706,12656
27726,23619,12546
27726,23725,12738
27726,23764,12653
27726,23634,12588
27726,23619,12811
27726,23661,12583
27726,23648,12472
27726,23629,12503
27726,23627,12650
27726,23705,12606
27726,23809,12657
27726,23588,12563
27726,23718,12579
27726,23617,12558
27726,23761,12637
27726,23753,12672
27726,23723,12581
27726,23652,12499
27726,23658,12561
27726,23768,12586
27726,23606,12550
27726,23700,12621
27726,23602,12641
27726,23709,12621
27726,23736,12579
27726,23644,12740
27726,23721,12735
27726,23736,12614
27726,23752,12545
27726,23803,12602
27726,23604,12460
27726,23728,12706
27726,23704,12701
27726,23642,12493
27726,23618,12626
27726,23716,12581
27726,23745,12729
27726,23725,12472
27726,23677,12606
27726,23747,12649
27726,23707,12587
27726,23680,12648
27726,23627,12584
27726,23765,12641
27726,23701,12553
27726,23720,12611
27726,23620,12714
27726,23639,12752
27726,23649,12561
27726,23729,12677
27726,23599,12545
27726,23663,12631
27726,23714,12547
27726,23661,12659
27726,23592,12691
27726,23770,12586
27726,23653,12585
27726,23664,12598
27726,23636,12509
27726,23618,12588
27726,23699,12495
27726,23586,12603
27726,23682,12544
27726,23763,12605
27726,23644,12576
27726,23655,12552
27726,23609,12582
27726,23697,12567
27726,23665,12627
27726,23610,12692
27726,23640,12496
27726,23679,12587
