identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
5192,4656,2223
5192,4648,2179
5192,4610,2256
5192,4637,2225
5192,4640,2214
5192,4659,2240
5192,4668,2186
5192,4686,2245
5192,4676,2176
5192,4632,2242
5192,4675,2174
5192,4658,2318
5192,4661,2199
5192,4656,2242
5192,4697,2258
5192,4692,2206
5192,4642,2218
5192,4655,2241
5192,4673,2211
5192,4670,2263
5192,4673,2202
5192,4621,2261
5192,4650,2231
5192,4670,2228
5192,4656,2201
5192,4632,2175
5192,4639,2225
5192,4622,2168
5192,4677,2173
5192,4665,2241
5192,4639,2194
5192,4617,2202
5192,4671,2205
5192,4613,2253
5192,4665,2186
5192,4653,2248
5192,4656,2257
5192,4657,2236
5192,4667,2206
5192,4673,2203
5192,4632,2190
5192,4652,2223
5192,4691,2235
5192,4680,2241
5192,4676,2248
5192,4692,2234
5192,4675,2225
5192,4658,2210
5192,4643,2184
5192,4657,2230
5192,4648,2171
5192,4662,2242
5192,4695,2208
5192,4650,2197
5192,4657,2196
5192,4644,2185
5192,4657,2235
5192,4634,2215
5192,4661,2253
5192,4645,2178
5192,4659,2217
5192,4637,2207
5192,4650,2251
5192,4640,2231
5192,4685,2198
5192,4671,2232
5192,4683,2192
5192,4662,2269
5192,4690,2240
5192,4640,2176
5192,4658,2168
5192,4634,2175
5192,4657,2185
5192,4642,2154
5192,4663,2206
5192,4616,2231
5192,4636,2192
5192,4680,2240
5192,4685,2245
5192,4660,2213
5192,4612,2173
5192,4638,2165
5192,4681,2234
5192,4652,2183
5192,4641,2207
5192,4666,2166
5192,4631,2218
5192,4653,2231
5192,4693,2178
5192,4686,2281
5192,4660,2146
5192,4667,2221
5192,4684,2233
5192,4669,2178
5192,4654,2200
5192,4675,2151
5192,4673,2218
5192,4643,2161
5192,4689,2234
5192,4664,2249
5192,4663,2211
5192,4674,2215
5192,4635,2200
5192,4655,2225
5192,4641,2217
5192,4661,2181
5192,4688,2236
5192,4668,2200
5192,4646,2210
5192,4666,2174
5192,4683,2234
5192,4624,2231
5192,4656,2272
5192,4655,2175
5192,4689,2224
5192,4644,2202
5192,4643,2294
5192,4639,2230
5192,4658,2224
5192,4643,2249
5192,4672,2199
5192,4660,2211
5192,4650,2231
5192,4625,2218
5192,4645,2176
5192,4647,2242
5192,4666,2204
5192,4661,2220
5192,4647,2229
5192,4634,2230
5192,4667,2225
5192,4651,2209
5192,4701,2233
5192,4639,2239
5192,4650,2176
5192,4667,2213
5192,4631,2232
5192,4630,2196
5192,4670,2195
5192,4650,2223
5192,4670,2239
5192,4688,2177
5192,4691,2188
5192,4670,2215
5192,4699,2285
5192,4656,2215
5192,4667,2207
5192,4628,2238
5192,4683,2232
5192,4632,2187
5192,4662,2218
5192,4657,2230
5192,4629,2197
5192,4674,2201
5192,4634,2184
5192,4644,2218
5192,4672,2188
5192,4652,2240
5192,4650,2190
5192,4673,2204
5192,4643,2220
5192,4654,2231
5192,4654,2252
