identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
968,870,436
968,838,469
968,859,445
968,869,438
968,844,450
968,853,442
968,861,443
968,865,432
968,859,444
968,845,435
968,854,447
968,860,443
968,844,453
968,860,426
968,869,474
968,835,464
968,868,451
968,872,449
968,861,452
968,862,421
968,859,454
968,856,449
968,854,446
968,862,434
968,856,427
968,861,435
968,850,437
968,857,436
968,844,457
968,852,463
968,864,423
968,857,458
968,865,461
968,857,451
968,852,450
968,862,435
968,858,471
968,852,439
968,860,480
968,880,453
968,859,429
968,847,442
968,874,448
968,870,432
968,849,441
968,853,449
968,863,439
968,851,437
968,882,465
968,850,438
968,859,446
968,862,463
968,870,449
968,870,442
968,855,436
968,871,423
968,877,440
968,857,447
968,865,446
968,862,449
968,862,443
968,859,457
968,869,462
968,872,462
968,863,464
968,851,438
968,851,436
968,857,451
968,858,437
968,852,452
968,861,455
968,871,448
968,859,457
968,862,457
968,852,430
968,858,440
968,855,445
968,869,430
968,864,454
968,862,453
968,867,449
968,850,439
968,864,458
968,862,435
968,883,440
968,861,435
968,871,425
968,872,446
968,846,456
968,847,447
968,874,452
968,859,431
968,869,454
968,863,432
968,858,445
968,867,472
968,869,421
968,862,457
968,868,426
968,860,467
968,867,435
968,859,460
968,859,443
968,855,429
968,846,449
968,875,435
968,858,451
968,866,429
968,851,434
968,874,415
968,862,440
968,854,437
968,871,459
968,854,434
968,855,450
968,859,454
968,854,444
968,872,422
968,863,447
968,863,439
968,870,441
968,861,426
968,866,470
968,864,460
968,860,436
968,861,464
968,871,448
968,852,433
968,857,435
968,863,447
968,855,459
968,860,432
968,866,447
968,851,465
968,854,462
968,852,437
968,843,451
968,867,442
968,870,432
968,843,444
968,867,452
968,848,428
968,855,433
968,855,451
968,868,448
968,862,460
968,866,452
968,865,452
968,844,440
968,853,461
968,865,421
968,857,444
968,858,465
968,857,430
968,862,442
968,862,428
968,842,446
968,854,462
968,859,457
968,861,425
968,853,436
968,841,460
968,848,453
968,863,448
968,862,453
968,867,441
968,856,440
968,871,447
968,855,438
968,856,438
968,857,442
968,844,439
968,866,444
968,858,438
968,857,446
968,846,443
968,845,428
968,860,440
968,854,442
968,862,436
968,854,445
968,848,431
968,857,433
968,861,456
968,877,438
968,864,430
968,855,432
968,862,457
968,859,441
968,864,442
968,866,437
968,871,453
968,854,442
968,860,464
968,838,438
968,877,447
968,856,440
968,853,420
968,870,428
968,860,446
968,857,463
968,868,445
968,862,462
968,857,444
968,859,438
968,838,436
968,862,429
968,849,432
968,852,431
968,864,450
968,845,445
968,849,433
968,863,446
968,849,449
968,862,457
968,855,438
968,867,444
968,868,446
968,867,468
968,859,427
968,867,417
968,853,446
968,858,449
968,859,453
968,848,438
968,861,447
968,867,431
968,847,452
968,842,447
968,860,444
968,851,447
968,884,449
968,849,444
968,854,442
968,853,438
968,850,451
968,855,463
968,844,449
968,854,440
968,861,431
968,859,458
968,848,444
968,853,451
968,861,437
968,861,473
968,844,442
968,834,442
968,863,451
968,863,449
968,879,456
968,863,446
968,872,450
968,862,470
968,865,450
968,859,461
968,863,441
968,837,467
968,856,441
968,847,449
968,878,447
968,861,467
968,856,446
968,870,439
968,859,431
968,843,449
968,869,431
968,860,432
968,853,431
968,852,452
968,874,428
968,859,452
968,845,452
968,857,449
968,865,454
968,854,441
968,859,422
968,853,450
968,842,430
968,854,435
968,842,443
968,857,437
968,847,434
968,857,425
968,854,430
968,857,449
968,845,453
968,841,445
968,880,430
968,858,448
968,871,429
968,845,453
968,853,445
968,852,454
968,861,458
968,836,436
968,863,430
968,842,440
968,862,445
968,864,445
968,870,452
968,852,452
968,866,443
968,864,453
968,858,455
968,865,435
968,857,439
968,863,450
968,857,449
968,865,432
968,861,446
968,844,437
968,871,441
968,849,462
968,851,440
968,858,460
968,857,434
968,854,454
968,852,435
968,870,449
968,855,433
968,838,427
968,874,455
968,855,446
968,856,442
968,850,459
968,866,440
968,852,452
968,845,417
968,853,441
968,860,445
968,868,428
968,849,446
968,841,446
968,856,431
968,844,423
968,844,449
968,865,436
968,852,463
968,858,450
968,865,441
968,862,435
968,855,458
968,870,447
968,862,450
968,858,447
968,858,438
968,853,440
968,869,435
968,853,473
968,865,457
968,849,435
968,867,429
968,858,429
968,873,439
968,865,447
968,864,466
968,870,441
968,852,442
968,860,447
968,855,432
968,853,430
968,861,439
968,862,468
968,871,427
968,852,449
968,849,455
968,865,457
968,859,435
968,871,466
968,855,450
968,864,450
968,857,424
968,868,424
968,856,447
968,873,439
968,855,455
968,843,448
968,868,454
968,852,448
968,866,428
968,858,439
968,868,459
968,845,446
968,839,449
968,856,460
968,862,442
968,861,448
968,852,417
968,847,439
968,850,468
968,867,459
968,854,431
968,865,464
968,858,426
968,852,444
968,846,445
968,851,441
968,852,477
968,869,447
968,867,446
968,863,438
968,850,446
968,862,446
968,855,427
968,855,450
968,856,451
968,849,442
968,874,436
968,861,449
968,856,442
968,854,443
968,838,441
968,858,440
968,852,433
968,873,449
968,863,461
968,856,436
968,870,451
968,848,408
968,867,424
968,867,438
968,859,439
968,856,442
968,860,445
968,849,448
968,871,442
968,871,445
968,843,445
968,859,444
968,872,447
968,863,431
968,872,434
968,847,454
968,860,455
968,851,444
968,867,454
968,863,451
968,868,435
968,865,456
968,861,446
968,860,445
968,858,439
968,865,449
968,867,440
968,852,457
968,868,456
968,849,451
968,865,457
968,846,449
968,880,434
968,875,432
968,864,447
968,855,454
968,865,424
968,857,462
968,866,461
968,851,450
968,847,455
968,871,445
968,851,457
968,865,430
968,868,452
968,864,426
968,862,459
968,847,420
968,865,450
968,869,448
968,864,455
968,864,438
968,857,451
968,862,446
968,848,440
