identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
15537,13335,7332
15537,13311,7288
15537,13334,7307
15537,13378,7288
15537,13419,7288
15537,13336,7373
15537,13238,7401
15537,13327,7262
15537,13385,7379
15537,13294,7277
15537,13318,7342
15537,13337,7313
15537,13341,7294
15537,13326,7252
15537,13236,7280
15537,13412,7413
15537,13333,7312
15537,13394,7284
15537,13330,7326
15537,13384,7351
15537,13353,7299
15537,13391,7363
15537,13368,7311
15537,13384,7398
15537,13287,7303
15537,13330,7336
15537,13422,7308
15537,13379,7386
15537,13345,7312
15537,13359,7284
15537,13313,7280
15537,13307,7305
15537,13286,7269
15537,13381,7273
15537,13427,7363
15537,13376,7287
15537,13362,7181
15537,13340,7307
15537,13354,7162
15537,13299,7311
15537,13284,7223
15537,13282,7381
15537,13387,7232
15537,13355,7378
15537,13406,7419
15537,13387,7165
15537,13313,7332
15537,13381,7358
15537,13317,7266
15537,13380,7297
15537,13463,7303
15537,13373,7296
15537,13262,7434
15537,13265,7436
15537,13367,7342
15537,13352,7368
15537,13429,7363
15537,13313,7207
15537,13377,7306
15537,13398,7339
15537,13398,7281
15537,13351,7356
15537,13319,7298
15537,13333,7168
15537,13281,7334
15537,13284,7344
15537,13280,7215
15537,13332,7333
15537,13352,7341
15537,13358,7265
15537,13357,7268
15537,13368,7360
15537,13270,7256
15537,13327,7341
15537,13366,7311
15537,13382,7355
15537,13311,7365
15537,13356,7389
15537,13323,7309
15537,13315,7281
15537,13392,7447
15537,13364,7376
15537,13318,7260
15537,13308,7242
15537,13323,7368
15537,13359,7294
15537,13377,7253
15537,13365,7261
15537,13321,7251
15537,13369,7271
15537,13318,7262
15537,13294,7375
15537,13340,7305
15537,13390,7395
15537,13424,7295
15537,13371,7233
15537,13310,7338
15537,13353,7350
15537,13357,7211
15537,13365,7244
15537,13424,7263
15537,13311,7354
15537,13297,7277
15537,13286,7345
15537,13366,7237
15537,13352,7372
15537,13272,7265
15537,13393,7280
15537,13347,7302
15537,13390,7342
15537,13339,7302
15537,13353,7276
15537,13383,7212
15537,13349,7295
15537,13285,7300
15537,13328,7255
15537,13376,7275
15537,13380,7289
15537,13348,7208
15537,13377,7239
15537,13313,7281
15537,13330,7344
15537,13339,7276
15537,13377,7371
15537,13353,7275
15537,13304,7274
15537,13403,7310
15537,13403,7351
15537,13286,7297
15537,13376,7258
15537,13379,7348
15537,13365,7183
15537,13417,7269
15537,13318,7339
15537,13333,7282
15537,13347,7354
15537,13380,7220
15537,13361,7369
15537,13358,7382
15537,13452,7280
15537,13373,7249
15537,13324,7240
15537,13402,7437
15537,13355,7296
15537,13389,7285
15537,13287,7266
15537,13311,7281
15537,13352,7266
15537,13392,7336
15537,13342,7345
15537,13392,7312
15537,13367,7379
15537,13311,7315
15537,13322,7338
15537,13367,7405
15537,13339,7293
15537,13378,7381
15537,13335,7322
15537,13386,7318
15537,13306,7261
15537,13342,7287
15537,13297,7235
15537,13354,7352
15537,13342,7257
15537,13330,7301
15537,13305,7267
15537,13384,7318
15537,13373,7325
15537,13332,7277
15537,13299,7358
15537,13330,7398
15537,13370,7287
15537,13312,7277
15537,13352,7335
15537,13364,7311
15537,13331,7343
15537,13405,7276
15537,13334,7313
15537,13371,7322
15537,13420,7282
15537,13360,7233
15537,13330,7317
15537,13373,7214
15537,13299,7416
15537,13390,7259
15537,13328,7233
15537,13421,7162
15537,13349,7218
15537,13310,7359
15537,13321,7221
15537,13356,7383
15537,13389,7265
15537,13296,7352
15537,13402,7313
15537,13354,7236
15537,13366,7228
15537,13316,7277
15537,13408,7312
15537,13274,7302
15537,13396,7319
15537,13352,7337
15537,13285,7237
15537,13334,7457
15537,13308,7406
15537,13361,7347
15537,13429,7338
15537,13287,7307
15537,13319,7293
15537,13361,7317
15537,13295,7228
15537,13309,7293
15537,13352,7346
15537,13396,7344
15537,13346,7395
15537,13349,7376
15537,13337,7242
15537,13306,7289
15537,13393,7206
15537,13372,7279
15537,13337,7265
15537,13345,7253
15537,13394,7333
15537,13293,7299
15537,13420,7311
15537,13308,7392
15537,13317,7356
15537,13355,7405
15537,13268,7339
15537,13272,7289
15537,13316,7322
15537,13344,7306
15537,13373,7316
15537,13339,7245
15537,13293,7190
15537,13340,7246
15537,13375,7260
15537,13346,7237
15537,13329,7256
15537,13371,7346
15537,13278,7343
15537,13283,7278
15537,13329,7398
15537,13342,7270
15537,13412,7310
15537,13364,7219
15537,13384,7364
15537,13300,7344
15537,13297,7317
15537,13332,7359
15537,13309,7257
15537,13367,7303
15537,13414,7424
15537,13370,7226
15537,13331,7379
15537,13257,7358
15537,13378,7340
15537,13294,7338
15537,13312,7280
15537,13418,7286
15537,13310,7289
15537,13391,7337
15537,13296,7343
15537,13342,7311
15537,13370,7350
15537,13373,7280
15537,13293,7289
15537,13313,7302
15537,13305,7303
15537,13346,7238
15537,13370,7203
15537,13389,7282
15537,13385,7276
15537,13400,7295
15537,13344,7173
15537,13413,7231
15537,13235,7372
15537,13260,7293
15537,13348,7325
15537,13402,7313
15537,13328,7266
15537,13381,7385
15537,13325,7289
15537,13335,7283
15537,13338,7319
15537,13348,7331
15537,13273,7249
15537,13285,7333
15537,13317,7367
15537,13400,7369
15537,13324,7328
15537,13338,7315
15537,13325,7291
15537,13356,7309
15537,13380,7322
15537,13392,7280
15537,13343,7311
15537,13419,7214
15537,13411,7240
15537,13325,7290
15537,13320,7322
15537,13383,7321
15537,13247,7287
15537,13420,7434
15537,13394,7401
15537,13297,7295
15537,13395,7292
15537,13378,7381
15537,13362,7259
15537,13327,7290
15537,13363,7292
15537,13319,7242
15537,13355,7341
15537,13332,7367
15537,13353,7266
15537,13369,7300
15537,13391,7323
15537,13297,7333
15537,13406,7354
15537,13292,7260
15537,13339,7277
15537,13348,7289
15537,13359,7347
15537,13380,7268
15537,13322,7279
15537,13327,7246
15537,13352,7394
15537,13330,7285
15537,13279,7321
15537,13375,7306
15537,13332,7280
15537,13394,7342
15537,13295,7336
15537,13321,7338
15537,13376,7348
15537,13348,7300
15537,13322,7257
15537,13319,7192
15537,13406,7393
15537,13260,7408
15537,13344,7274
15537,13280,7301
15537,13277,7260
15537,13391,7335
15537,13395,7247
15537,13365,7325
15537,13367,7396
15537,13431,7436
15537,13370,7280
15537,13371,7249
15537,13352,7214
15537,13318,7258
15537,13371,7406
15537,13351,7384
15537,13339,7236
15537,13264,7308
15537,13357,7325
15537,13351,7326
15537,13414,7338
15537,13389,7298
15537,13391,7263
15537,13393,7244
15537,13330,7235
15537,13349,7248
15537,13318,7344
15537,13360,7232
15537,13332,7227
15537,13349,7259
15537,13407,7290
15537,13320,7319
15537,13499,7313
15537,13268,7314
15537,13389,7320
15537,13329,7376
15537,13348,7329
15537,13375,7317
15537,13306,7298
15537,13360,7263
15537,13392,7258
15537,13321,7219
15537,13426,7256
15537,13347,7313
15537,13339,7163
15537,13354,7199
15537,13372,7291
15537,13299,7246
15537,13354,7242
15537,13338,7308
15537,13348,7261
15537,13318,7293
15537,13382,7185
15537,13351,7234
15537,13355,7298
15537,13437,7288
15537,13350,7370
15537,13337,7184
15537,13395,7297
15537,13334,7263
15537,13370,7277
15537,13325,7271
15537,13316,7245
15537,13311,7280
15537,13292,7255
15537,13342,7269
15537,13329,7231
15537,13284,7211
15537,13311,7362
15537,13377,7282
15537,13378,7351
15537,13381,7263
15537,13277,7191
15537,13395,7259
15537,13338,7348
15537,13304,7268
15537,13391,7367
15537,13299,7374
15537,13350,7277
15537,13364,7290
15537,13334,7372
15537,13349,7376
15537,13422,7352
15537,13372,7283
15537,13380,7300
15537,13335,7343
15537,13351,7242
15537,13371,7297
15537,13377,7255
15537,13340,7284
15537,13277,7265
15537,13344,7326
15537,13312,7333
15537,13340,7423
15537,13436,7323
15537,13366,7245
15537,13357,7258
15537,13326,7316
15537,13314,7319
15537,13327,7330
15537,13378,7303
15537,13345,7258
15537,13328,7281
15537,13429,7298
15537,13396,7289
15537,13336,7386
15537,13368,7430
15537,13386,7313
15537,13345,7345
15537,13382,7276
15537,13328,7325
15537,13248,7366
15537,13432,7323
15537,13283,7269
15537,13386,7300
15537,13319,7254
15537,13402,7237
15537,13365,7147
15537,13406,7368
15537,13410,7344
15537,13346,7408
15537,13329,7335
15537,13364,7383
15537,13275,7252
15537,13344,7249
15537,13329,7323
15537,13343,7111
15537,13354,7339
15537,13379,7249
15537,13329,7328
15537,13330,7297
15537,13313,7312
15537,13332,7306
15537,13391,7280
15537,13336,7320
15537,13273,7203
15537,13330,7286
15537,13331,7290
15537,13356,7299
15537,13356,7392
15537,13369,7346
15537,13366,7295
15537,13406,7247
15537,13395,7281
15537,13392,7283
15537,13449,7386
15537,13504,7272
15537,13253,7306
15537,13350,7295
15537,13424,7397
15537,13412,7291
15537,13289,7278
15537,13312,7287
15537,13452,7404
15537,13404,7311
15537,13316,7247
15537,13375,7348
15537,13337,7253
15537,13372,7326
15537,13328,7297
15537,13388,7284
15537,13372,7253
15537,13355,7314
15537,13347,7209
15537,13384,7412
15537,13275,7364
15537,13317,7340
15537,13295,7307
15537,13320,7377
15537,13399,7267
15537,13360,7215
15537,13359,7381
15537,13405,7211
15537,13321,7405
15537,13403,7364
15537,13361,7308
15537,13323,7184
15537,13414,7240
15537,13414,7414
15537,13356,7405
15537,13323,7236
15537,13341,7367
15537,13420,7248
15537,13389,7337
15537,13336,7286
15537,13369,7321
15537,13418,7284
15537,13353,7169
15537,13375,7314
15537,13321,7285
15537,13298,7385
15537,13404,7317
15537,13394,7301
15537,13391,7343
15537,13376,7319
15537,13356,7264
15537,13379,7235
15537,13422,7306
15537,13361,7375
15537,13379,7254
15537,13347,7279
15537,13342,7281
15537,13390,7216
15537,13441,7220
15537,13320,7357
15537,13339,7311
15537,13374,7369
15537,13395,7340
15537,13353,7312
15537,13360,7393
15537,13341,7350
15537,13289,7284
15537,13396,7335
15537,13374,7421
15537,13330,7244
15537,13314,7382
15537,13345,7381
15537,13412,7147
15537,13355,7355
15537,13364,7284
15537,13354,7269
15537,13397,7339
15537,13373,7376
15537,13355,7283
15537,13325,7329
15537,13334,7259
15537,13476,7281
15537,13264,7342
15537,13375,7295
15537,13371,7264
15537,13271,7247
15537,13314,7269
15537,13402,7293
15537,13353,7230
15537,13335,7259
15537,13293,7381
15537,13334,7305
15537,13339,7262
15537,13315,7370
15537,13455,7227
15537,13378,7281
15537,13349,7326
15537,13306,7350
15537,13359,7273
15537,13299,7393
15537,13350,7302
15537,13382,7277
15537,13317,7284
15537,13362,7269
15537,13389,7393
15537,13324,7392
15537,13321,7380
15537,13322,7419
15537,13315,7262
15537,13345,7290
15537,13397,7297
15537,13385,7279
15537,13256,7236
15537,13387,7359
15537,13373,7396
15537,13403,7289
15537,13321,7301
15537,13464,7270
15537,13283,7228
15537,13356,7315
15537,13380,7325
15537,13384,7299
15537,13416,7291
15537,13331,7244
15537,13364,7342
15537,13325,7241
15537,13357,7306
15537,13369,7403
15537,13326,7310
15537,13305,7252
15537,13320,7347
15537,13387,7328
15537,13451,7251
15537,13393,7358
15537,13364,7345
15537,13354,7236
15537,13356,7233
15537,13364,7233
15537,13339,7331
15537,13318,7255
15537,13327,7314
15537,13366,7370
15537,13304,7245
15537,13390,7295
15537,13330,7342
15537,13359,7329
15537,13334,7326
15537,13356,7290
15537,13390,7295
15537,13333,7299
15537,13365,7246
15537,13335,7229
15537,13365,7284
15537,13302,7191
15537,13417,7336
15537,13322,7310
15537,13355,7200
15537,13362,7323
15537,13322,7239
15537,13384,7404
15537,13420,7321
15537,13379,7394
15537,13373,7238
15537,13257,7330
15537,13378,7215
15537,13343,7266
