identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
2098,1715,577
2098,1730,586
2098,1706,588
2098,1688,587
2098,1710,593
2098,1685,600
2098,1680,568
2098,1715,591
2098,1699,587
2098,1707,551
2098,1716,561
2098,1668,558
2098,1715,575
2098,1694,570
2098,1702,562
2098,1723,592
2098,1700,580
2098,1705,600
2098,1705,563
2098,1744,577
2098,1702,573
2098,1670,610
2098,1688,585
2098,1711,601
2098,1677,593
2098,1703,591
2098,1709,623
2098,1679,582
2098,1721,596
2098,1723,599
2098,1704,582
2098,1680,595
2098,1684,593
2098,1680,604
2098,1680,566
2098,1704,584
2098,1707,580
2098,1676,594
2098,1691,578
2098,1692,549
2098,1688,576
2098,1694,554
2098,1683,589
2098,1734,585
2098,1740,579
2098,1671,594
2098,1712,584
2098,1701,592
2098,1685,580
2098,1687,603
2098,1652,564
2098,1700,557
2098,1693,601
2098,1682,577
2098,1694,569
2098,1692,585
2098,1697,611
2098,1678,608
2098,1726,575
2098,1706,562
2098,1680,603
2098,1714,536
2098,1700,588
2098,1736,598
2098,1699,590
2098,1709,572
2098,1717,595
2098,1671,585
2098,1699,595
2098,1695,562
2098,1701,602
2098,1697,595
2098,1715,579
2098,1718,607
2098,1689,569
2098,1684,592
2098,1709,539
2098,1672,616
2098,1689,557
2098,1726,558
2098,1670,587
2098,1651,580
2098,1731,597
2098,1705,554
2098,1685,643
2098,1660,592
2098,1710,602
2098,1684,569
2098,1689,583
2098,1709,586
2098,1703,605
2098,1698,599
2098,1724,588
2098,1709,594
2098,1692,586
2098,1665,585
2098,1722,609
2098,1712,625
2098,1685,607
2098,1682,575
2098,1672,589
2098,1658,572
2098,1731,626
2098,1681,587
2098,1704,567
2098,1696,604
2098,1685,601
2098,1700,557
2098,1702,584
2098,1700,589
2098,1704,587
2098,1685,620
2098,1696,583
2098,1712,629
2098,1706,556
2098,1671,585
2098,1681,543
2098,1703,535
2098,1701,582
2098,1692,590
2098,1690,573
2098,1709,602
2098,1711,600
2098,1686,570
2098,1694,568
2098,1714,579
2098,1671,565
2098,1654,611
2098,1674,559
2098,1736,577
2098,1669,609
2098,1725,560
2098,1640,580
2098,1701,555
2098,1711,593
2098,1668,607
2098,1684,583
2098,1675,585
2098,1684,551
2098,1706,621
2098,1721,542
2098,1711,564
2098,1707,593
2098,1724,576
2098,1710,601
2098,1690,613
2098,1679,595
2098,1712,589
2098,1714,550
2098,1688,582
2098,1683,589
2098,1733,586
2098,1698,597
2098,1702,582
2098,1710,586
2098,1730,606
2098,1712,583
2098,1680,592
2098,1708,602
2098,1711,577
2098,1701,601
2098,1715,606
2098,1700,620
2098,1667,580
2098,1681,592
2098,1701,560
2098,1694,575
2098,1677,628
2098,1695,563
2098,1711,607
2098,1716,594
2098,1694,605
2098,1682,606
2098,1723,600
2098,1720,607
2098,1689,574
2098,1702,599
2098,1680,580
2098,1702,577
2098,1713,585
2098,1712,602
2098,1704,586
2098,1701,587
2098,1726,583
2098,1685,587
2098,1707,608
2098,1700,589
2098,1674,596
2098,1691,584
2098,1696,586
2098,1677,575
2098,1701,579
2098,1698,573
2098,1704,575
2098,1708,571
2098,1678,583
2098,1736,598
2098,1664,571
2098,1707,602
2098,1680,591
2098,1676,598
2098,1702,542
2098,1687,585
2098,1710,618
2098,1677,561
2098,1661,599
2098,1694,602
2098,1711,612
2098,1712,555
2098,1700,589
2098,1701,570
2098,1687,609
2098,1697,596
2098,1690,614
2098,1692,604
2098,1703,607
2098,1691,582
2098,1704,599
2098,1693,579
2098,1672,569
2098,1689,607
2098,1711,590
2098,1692,605
2098,1697,582
2098,1706,605
2098,1673,595
2098,1687,573
2098,1704,615
2098,1651,571
2098,1709,587
2098,1676,579
2098,1711,595
2098,1705,613
2098,1709,609
2098,1708,585
2098,1688,553
2098,1716,581
2098,1716,609
2098,1658,587
2098,1711,609
2098,1712,587
2098,1683,601
2098,1665,591
2098,1693,580
2098,1692,606
2098,1673,576
2098,1702,577
2098,1663,595
2098,1712,603
